YEAR,NAME,TEAM,AVG,G,PA,AB,R,H,D,T,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH_BA,TBPI
2004,강동우,삼성,0.295,132,497,438,59,129,22,1,3,162,49,7,1,49,4,2,45,13,0.37,0.367,0.737,28,0.291,0.231,-0.3958696
2009,이대형,LG,0.28,133,597,521,92,146,10,2,2,166,41,22,4,50,1,0,77,8,0.319,0.341,0.66,40,0.25,0.0,-0.39676046
2005,이호준,SK,0.271,105,411,354,59,96,16,1,21,177,65,0,2,45,2,10,68,10,0.5,0.367,0.867,26,0.26,0.0,-0.39723372
2022,하주석,한화,0.258,125,483,445,50,115,18,2,5,152,58,1,3,31,1,3,126,4,0.342,0.309,0.651,29,0.255,0.75,-0.39934945
2004,김종국,KIA,0.265,133,562,491,66,130,20,1,10,182,46,18,2,46,0,5,81,10,0.371,0.333,0.704,31,0.254,0.0,-0.39949417
2020,이원석,삼성,0.268,121,467,403,46,108,17,0,13,164,74,1,12,49,1,2,82,7,0.407,0.341,0.748,27,0.336,0.0,-0.39982527
2019,김헌곤,삼성,0.297,114,467,411,57,122,20,1,5,159,46,5,6,37,1,8,41,18,0.387,0.361,0.748,33,0.313,0.0,-0.4005619
2021,최주환,SSG,0.256,116,470,406,50,104,16,0,18,174,67,0,2,53,4,9,84,7,0.429,0.353,0.782,29,0.284,0.167,-0.4015591
2013,김강민,SK,0.301,105,397,352,39,106,22,3,10,164,55,2,3,36,2,4,54,10,0.466,0.37,0.836,28,0.36,0.25,-0.40168417
2023,김상수,KT,0.271,129,512,443,58,120,19,1,3,150,56,8,3,55,0,3,68,9,0.339,0.353,0.692,30,0.336,0.5,-0.4017867
2002,양준혁,삼성,0.276,132,437,391,60,108,23,2,14,177,50,0,1,39,3,5,56,9,0.453,0.349,0.802,27,0.237,0.214,-0.4021005
2010,이대형,LG,0.261,130,568,494,73,129,14,2,1,150,43,13,1,58,0,2,76,3,0.304,0.341,0.645,34,0.308,0.25,-0.40273196
2006,정근우,SK,0.284,120,487,430,69,122,19,4,8,173,42,13,4,36,1,4,60,3,0.402,0.342,0.744,35,0.289,0.25,-0.40408608
2011,박한이,삼성,0.256,121,506,429,77,110,19,2,4,145,30,10,2,60,3,5,88,7,0.338,0.353,0.691,23,0.215,0.667,-0.40442514
2007,박재홍,SK,0.28,115,400,347,53,97,19,1,17,169,54,1,7,41,6,4,52,5,0.487,0.356,0.843,22,0.247,0.333,-0.40648788
2018,김동엽,SK,0.252,124,446,421,58,106,15,0,27,202,76,1,3,17,0,4,108,13,0.48,0.285,0.765,26,0.33,0.286,-0.4074446
2023,추신수,SSG,0.254,112,462,382,65,97,17,1,12,152,41,0,2,65,1,13,79,8,0.398,0.379,0.777,24,0.26,0.3,-0.40846696
2022,류지혁,KIA,0.274,127,477,405,55,111,19,2,2,140,48,8,2,56,0,6,83,6,0.346,0.369,0.715,28,0.305,0.286,-0.40849787
